year,exports_kazakhstan_to_china_usd,imports_kazakhstan_from_china_usd,trade_balance_usd,trade_balance_ratio,minerals_narrow,minerals_broad,total_comtrade,oil_exports,brent_annual_mean,copper_annual_mean,kz_gdp,cn_gdp,kzt_usd,kz_cpi,cn_cpi,bri_flows_annual,bri_flows_cumulative,bri_intensity,post_bri_2013,years_since_announcement,minerals_narrow_share,minerals_broad_share,log_minerals_narrow,log_minerals_broad,log_exports_kazakhstan_to_china_usd,log_imports_kazakhstan_from_china_usd,log_brent_annual_mean,log_kz_gdp,log_cn_gdp,post_bri_x_minerals_narrow,bri_intensity_x_minerals_narrow
2010,10122070037.0,3964519584.0,6157550453.0,0.437121,3016195399.0,3016195399.0,10122070037.0,5567138520.35,79.63562997992334,7534.779583333334,146559490369.689,7711689202853.29,147.355,100.0,100.0,832802351.6755667,20430060223.857468,23.7402731936354,0,0,0.2979820716488488,0.2979820716488488,21.82726207279189,21.82726207279189,23.03798402909788,22.100650520757853,4.389940611137414,25.710697260585132,29.673758371964812,0.0,71605302777.64613
2011,16291513411.0,5021097548.0,11270415863.0,0.528814,4425537809.0,4425537809.0,16291513411.0,8960332376.050001,110.93992536388834,8828.1875,157404892659.159,8441318020902.42,146.620833333333,108.452904661768,105.553898922574,2643953302.186253,23074013526.04372,23.86197286569749,0,0,0.27164681987198835,0.27164681987198835,22.21065764700409,22.21065764700409,23.513910159603526,22.33691438201181,4.717962346711949,25.78208725668523,29.76415957595818,0.0,105602063114.47632
2012,16484409000.0,7497716200.0,8986692800.0,0.374725,4746079100.0,4746079100.0,16484409000.0,9066424950.0,111.96555833960834,7962.347062819267,164960327499.374,9104482675356.36,149.1125,114.087774540991,108.318908982373,9325972342.0,32399985868.04372,24.201423823603974,0,0,0.287913209384698,0.287913209384698,22.280584661698462,22.280584661698462,23.525680862114683,22.737864304583816,4.727082978798582,25.82897084253907,29.839788009850484,0.0,114861871799.44891
2013,14373748042.0,8364465531.0,6009282511.0,0.264281,3362165154.0,3362165154.0,14373748042.0,7905561423.1,108.85637454514166,7332.1004774844705,174857947143.911,9812695262900.89,152.129166666667,120.867826977188,111.158001765191,395143700.0,32795129568.04372,24.213545852562294,0,0,0.23391012171465472,0.23391012171465472,21.9358509947596,21.9358509947596,23.38866932717617,22.847258275978717,4.6991738266885426,25.88723975063202,29.914698098242997,0.0,81409940120.26617
2014,9799418417.0,7357220265.0,2442198152.0,0.142347,2283764558.0,3849610031.0,9799418417.0,5389680129.35,98.9375,6863.3975,182201980933.864,10544908798424.0,179.191666666667,129.146608074122,113.294060199837,236563700.0,33031693268.04372,24.220733339614107,1,1,0.2330510302568704,0.39284066331137657,21.549091040677222,22.071237689726274,23.005588875759905,22.71894801709767,4.604544990594173,25.928381694017578,29.98666428102378,2283764558.0,55314452369.77967
2015,5480137487.0,5087800821.0,392336666.0,0.037125,1484038463.0,2639884631.0,5480137487.0,3014075617.8500004,52.370000000000005,5510.456666666666,184388404706.042,11280814787468.9,221.728333333333,137.771387734836,114.922122819495,1660234396.460635,34691927664.50436,24.269772864718146,1,2,0.27080314435914077,0.4817186863034628,21.118032900493173,21.694001053149762,22.424396026642704,22.350111515598485,3.9772487903458535,25.940310264888122,30.05412459232143,1484038463.0,36017276419.51543
2016,4214925896.0,3665652488.0,549273408.0,0.0697,1273263881.0,2346274302.0,4214925896.0,2318209242.8,44.04749999999999,4867.8975,186416677156.152,12045152668727.3,342.16,157.556866561297,117.220567369673,2300063700.0,36991991364.50436,24.33396727658108,1,3,0.30208452352824,0.55665849409752,20.96484942647733,21.576094504042565,22.161897847462768,22.02227218890843,3.807717488618832,25.95125020491757,30.119683426778263,1273263881.0,30983561614.706627
2017,5797975617.54,4694998733.36,1102976884.18,0.105116,2109078210.56,3614953550.63,5797975617.54,3188886589.6470003,54.392500000000005,6169.94,194059760924.352,12875216222853.4,326.001022727273,169.283293508518,119.088050428681,3788099414.0,40780090778.50436,24.43145982816931,1,4,0.3637611383151784,0.6234854695997798,21.46951682242115,22.00834484368621,22.480774662286983,22.269763680034718,4.014444205527294,25.991431994575127,30.18632535634536,2109078210.56,51527859575.76385
2018,6307476192.48,5384163379.5,923312812.98,0.078972,1625936093.9,3195828963.57,6307476192.48,3469111905.864,71.07166666666667,6529.798333333333,202016211108.857,13745158275136.7,344.705833333333,179.717344348263,121.558877866113,1227241290.285345,42007332068.7897,24.461110013083903,1,5,0.2577791884238104,0.5066731710188906,21.209349545270165,21.885112347952226,22.565001464152903,22.406727774389342,4.277660994333819,26.03161378414166,30.2517077525858,1625936093.9,39772201667.13182
2019,8003866693.43,6788625828.84,1215240864.59,0.082153,1628390246.2800002,3821044726.44,8003866693.43,4402126681.3865,64.03166666666667,6010.145,211106940610.612,14579283528148.4,382.747310606061,189.302678517188,125.083154382074,2192425073.555712,44199757142.34541,24.51198513152052,1,6,0.20345044572227441,0.47739984594902324,21.210857785432445,22.063789711032275,22.80319059866039,22.63851437656826,4.174874330749419,26.075630669567225,30.310622700571052,1628390246.2800002,39915077505.1284
2020,6836749155.66,1955285758.04,4881463397.62,0.555214,2854078659.63,2854078659.63,6836749155.66,3760212035.613,42.3,6173.770833333333,205829267103.2,14920466234565.3,412.953333333333,202.02032502464,128.109443605623,818486003.7609944,45018243146.10641,24.53033364783206,1,7,0.4174613686487486,0.4174613686487486,21.772014917159435,21.772014917159435,22.645578186110374,21.3938021880091,3.768152635008444,26.05031286162109,30.333754959181427,2854078659.63,70011501777.88121
2021,6851902440.5,2424023172.95,4427879267.55,0.477352,2866601881.29,2866601881.29,6851902440.5,3768546342.275,70.44333333333333,9317.05,214679925583.069,16199162892908.6,425.9075,218.265731563045,129.366216637456,637000000.0,45655243146.10641,24.544384292750316,1,8,0.41836583433327706,0.41836583433327706,21.776393152081233,21.776393152081233,22.647792179347203,21.608694465318177,4.268904594680931,26.09241403761379,30.41598068355453,2866601881.29,70358978188.70277
2022,10461770663.88,3575000793.04,6886769870.84,0.490623,3603762996.86,3603762996.86,10461770663.88,5753973865.134,99.82416666666668,8822.365833333333,221549683201.099,16706875253648.5,460.165,251.06640983023,131.919356668534,0.0,45655243146.10641,24.544384292750316,1,9,0.34446969950337814,0.34446969950337814,22.005244413670006,22.005244413670006,23.070993560882247,21.997231235201447,4.613378075579396,26.123912704670325,30.446841442464667,3603762996.86,88452143894.92538
2023,14758685491.52,16772250496.13,-2013565004.61,-0.06386,5054088848.47,7260798501.34,14758685491.52,8117277020.336,82.61625,8490.290833333334,232848717043.771,17611526369126.6,456.165,287.540232612332,132.229151902431,0.0,45655243146.10641,24.544384292750316,1,10,0.34244844172429606,0.49196783179043196,22.343463425787565,22.705755646283247,23.415097593380413,23.54299160157924,4.426237879192133,26.17365479656263,30.49957471095117,5054088848.47,124049498946.5516
2024,14897477202.63,,,,5719538244.74,8802701948.2,14897477202.63,8193612461.4465,80.69866666666667,9142.14,244491152895.888,18488114837769.3,468.9625,312.529841144883,132.517581947783,0.0,45655243146.10641,24.544384292750316,1,11,0.3839266318011397,0.590885411567938,22.467153912810346,22.898324550985354,23.424457720369773,,4.403037681863346,26.222444960731767,30.54814920035739,5719538244.74,140382544655.98117
