start_year,minerals_definition,outcome,sample,estimator,interaction_coef,std_error,p_value,n_obs,status,note
2014,broad,ratio,ex_2020,ARDL_long_run,-0.195482,0.045225,0.001507,23.0,ok,"AIC lags y=[1]; x={'minerals_broad_B': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0], 'post_2014': [0, 1], 'post_2014_x_minerals_broad_B': [0, 1]}"
2014,broad,ratio,ex_2020,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,broad,ratio,ex_both,OLS,-0.133684,0.038641,0.000541,22.0,ok,
2014,broad,ratio,ex_both,ARDL_long_run,-0.02486,0.114665,0.836928,22.0,ok,"AIC lags y=[1]; x={'minerals_broad_B': [0, 1], 'brent_annual_mean': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0, 1], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_broad_B': [0, 1]}"
2014,broad,ratio,ex_both,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,wits_legacy,level,full,OLS,-3.883584,0.591852,0.0,24.0,ok,
2014,wits_legacy,level,full,ARDL_long_run,-4.311767,0.49449,1.1e-05,24.0,ok,"AIC lags y=None; x={'minerals_wits_legacy_B': [0, 1], 'brent_annual_mean': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0, 1], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_wits_legacy_B': [0, 1]}"
2014,wits_legacy,level,full,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,wits_legacy,level,ex_2009,OLS,-4.074601,0.639678,0.0,23.0,ok,
2014,wits_legacy,level,ex_2009,ARDL_long_run,-1.451843,0.225652,3.2e-05,23.0,ok,"AIC lags y=None; x={'minerals_wits_legacy_B': [0, 1], 'log_kz_gdp': [0, 1], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_wits_legacy_B': [0, 1]}"
2014,wits_legacy,level,ex_2009,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,wits_legacy,level,ex_2020,OLS,-3.660478,0.496709,0.0,23.0,ok,
2014,wits_legacy,level,ex_2020,ARDL_long_run,-3.400229,0.378327,1e-06,23.0,ok,"AIC lags y=None; x={'minerals_wits_legacy_B': [0, 1], 'kzt_usd': [0, 1], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_wits_legacy_B': [0, 1]}"
2014,wits_legacy,level,ex_2020,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,wits_legacy,level,ex_both,OLS,-3.953043,0.561974,0.0,22.0,ok,
2014,wits_legacy,level,ex_both,ARDL_long_run,-1.525697,0.140561,1.2e-05,22.0,ok,"AIC lags y=None; x={'minerals_wits_legacy_B': [0, 1], 'brent_annual_mean': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0, 1], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_wits_legacy_B': [0, 1]}"
2014,wits_legacy,level,ex_both,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,wits_legacy,ratio,full,OLS,-0.17179,0.055589,0.001999,24.0,ok,
2014,wits_legacy,ratio,full,ARDL_long_run,-0.195126,0.022575,6e-06,24.0,ok,"AIC lags y=[1]; x={'minerals_wits_legacy_B': [0, 1], 'brent_annual_mean': [0], 'kzt_usd': [0, 1], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_wits_legacy_B': [0, 1]}"
2014,wits_legacy,ratio,full,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,wits_legacy,ratio,ex_2009,OLS,-0.160736,0.052558,0.002226,23.0,ok,
2014,wits_legacy,ratio,ex_2009,ARDL_long_run,-0.137851,0.057092,0.046463,23.0,ok,"AIC lags y=[1]; x={'minerals_wits_legacy_B': [0, 1], 'brent_annual_mean': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_wits_legacy_B': [0, 1]}"
2014,wits_legacy,ratio,ex_2009,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,wits_legacy,ratio,ex_2020,OLS,-0.146313,0.042137,0.000516,23.0,ok,
2014,wits_legacy,ratio,ex_2020,ARDL_long_run,-0.189429,0.018987,2e-06,23.0,ok,"AIC lags y=[1]; x={'minerals_wits_legacy_B': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0], 'post_2014': [0, 1], 'post_2014_x_minerals_wits_legacy_B': [0, 1]}"
2014,wits_legacy,ratio,ex_2020,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2014,wits_legacy,ratio,ex_both,OLS,-0.147498,0.041753,0.000411,22.0,ok,
2014,wits_legacy,ratio,ex_both,ARDL_long_run,-0.030742,0.021685,0.194042,22.0,ok,"AIC lags y=None; x={'minerals_wits_legacy_B': [0, 1], 'brent_annual_mean': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0, 1], 'post_2014': [0, 1], 'post_2014_x_minerals_wits_legacy_B': [0, 1]}"
2014,wits_legacy,ratio,ex_both,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2015,narrow,level,full,OLS,-3.967866,1.193717,0.000887,24.0,ok,
2015,narrow,level,full,ARDL_long_run,-5.589669,0.616123,1e-06,24.0,ok,"AIC lags y=None; x={'minerals_narrow_B': [0], 'brent_annual_mean': [0, 1], 'kzt_usd': [0], 'log_kz_gdp': [0, 1], 'post_2015': [0, 1], 'post_2015_x_minerals_narrow_B': [0, 1]}"
2015,narrow,level,full,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2015,narrow,level,ex_2009,OLS,-4.003701,1.25108,0.001373,23.0,ok,
2015,narrow,level,ex_2009,ARDL_long_run,-4.163251,0.922499,0.001968,23.0,ok,"AIC lags y=[1]; x={'minerals_narrow_B': [0, 1], 'brent_annual_mean': [0, 1], 'kzt_usd': [0], 'log_kz_gdp': [0], 'log_cn_gdp': [0, 1], 'post_2015': [0, 1], 'post_2015_x_minerals_narrow_B': [0, 1]}"
2015,narrow,level,ex_2009,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2015,narrow,level,ex_2020,OLS,-3.762141,0.874088,1.7e-05,23.0,ok,
2015,narrow,level,ex_2020,ARDL_long_run,-5.085571,0.372962,0.0,23.0,ok,"AIC lags y=None; x={'minerals_narrow_B': [0], 'brent_annual_mean': [0, 1], 'kzt_usd': [0], 'log_kz_gdp': [0, 1], 'post_2015': [0, 1], 'post_2015_x_minerals_narrow_B': [0, 1]}"
2015,narrow,level,ex_2020,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2015,narrow,level,ex_both,OLS,-3.879874,0.939218,3.6e-05,22.0,ok,
